id,name,url_image,price,discount,category
5,"ENERGETICA MR BIG",https://dojiw2m9tvv09.cloudfront.net/11132/product/misterbig3308256.jpg,1490,20,1
6,"ENERGETICA RED BULL",https://dojiw2m9tvv09.cloudfront.net/11132/product/redbull8381.jpg,1490,0,1
7,"ENERGETICA SCORE",https://dojiw2m9tvv09.cloudfront.net/11132/product/logo7698.png,1290,0,1
8,"PISCO ALTO DEL CARMEN 35º",https://dojiw2m9tvv09.cloudfront.net/11132/product/alto8532.jpg,7990,10,2
9,"PISCO ALTO DEL CARMEN 40º ",https://dojiw2m9tvv09.cloudfront.net/11132/product/alto408581.jpg,5990,0,2
10,"PISCO ARTESANOS 35º ",https://dojiw2m9tvv09.cloudfront.net/11132/product/artesanos8818.jpg,3990,0,2
11,"PISCO BAUZA 40º ",https://dojiw2m9tvv09.cloudfront.net/11132/product/bauza408831.jpg,4990,0,2
12,"PISCO CAMPANARIO 35º",https://dojiw2m9tvv09.cloudfront.net/11132/product/campanario8845.jpg,2990,20,2
13,"PISCO CAMPANARIO 40º",https://dojiw2m9tvv09.cloudfront.net/11132/product/campanario408881.jpg,3990,20,2
14,"PISCO ESPIRITU DEL ELQUI 40º",https://dojiw2m9tvv09.cloudfront.net/11132/product/espiritu8936.jpg,5990,20,2
15,"PISCO ESPIRITU DEL ELQUI 45º",https://dojiw2m9tvv09.cloudfront.net/11132/product/espiritu8957.jpg,6990,5,2
16,"PISCO HORCON QUEMADO 35º",https://dojiw2m9tvv09.cloudfront.net/11132/product/horcon359049.jpg,6990,20,2
17,"PISCO HORCON QUEMADO 40º",https://dojiw2m9tvv09.cloudfront.net/11132/product/horcon409062.jpg,7990,20,2
18,"PISCO HORCON QUEMADO 46º",https://dojiw2m9tvv09.cloudfront.net/11132/product/horcon469075.jpg,8990,20,2
19,"PISCO MISTRAL 35º",https://dojiw2m9tvv09.cloudfront.net/11132/product/mistral359200.jpg,4990,20,2
20,"PISCO MISTRAL 40º ",https://dojiw2m9tvv09.cloudfront.net/11132/product/mistral409215.jpg,4990,20,2
21,"PISCO TRES ERRES 35º",https://dojiw2m9tvv09.cloudfront.net/11132/product/rrr359305.jpg,4590,20,2
22,"PISCO TRES ERRES 40º",https://dojiw2m9tvv09.cloudfront.net/11132/product/rrr409319.jpg,4990,20,2
23,"RON BACARDI AÑEJO",https://dojiw2m9tvv09.cloudfront.net/11132/product/bacardi9450.jpg,4990,0,3
24,"RON BACARDI 8 AÑOS",https://dojiw2m9tvv09.cloudfront.net/11132/product/bacardianejo9463.jpg,5990,0,3
25,"RON ABUELO",https://dojiw2m9tvv09.cloudfront.net/11132/product/abuelo9475.jpg,3990,0,3
26,"RON BARCELO AÑEJO",https://dojiw2m9tvv09.cloudfront.net/11132/product/barceloanejo9553.jpg,4990,0,3
27,"RON BARCELO DORADO",https://dojiw2m9tvv09.cloudfront.net/11132/product/barcelodorado9567.jpg,3990,0,3
28,"RON FLOR DE CAÑA 4 AÑOS",https://dojiw2m9tvv09.cloudfront.net/11132/product/flor49664.jpg,3990,0,3
29,"RON FLOR DE CAÑA 5 AÑOS",https://dojiw2m9tvv09.cloudfront.net/11132/product/flor59677.jpg,4590,0,3
30,"RON HAVANA AÑEJO RESERVA",https://dojiw2m9tvv09.cloudfront.net/11132/product/havanaan-ejo9750.jpg,6990,0,3
31,"RON HAVANA ESPECIAL",https://dojiw2m9tvv09.cloudfront.net/11132/product/havanaespecial9768.jpg,5990,20,3
32,"RON PAMPERO",https://dojiw2m9tvv09.cloudfront.net/11132/product/pampero-especial0296.jpg,5490,20,3
33,"RON PAMPERO ANIVERSARIO",https://dojiw2m9tvv09.cloudfront.net/11132/product/ron_pampero_aniversario0311.jpg,20000,15,3
34,"ENERGETICA MONSTER RIPPER",https://dojiw2m9tvv09.cloudfront.net/11132/product/mosterriper0436.jpg,1990,0,1
35,"ENERGETICA MAKKA DRINKS",https://dojiw2m9tvv09.cloudfront.net/11132/product/makka-drinks-250ml0455.jpg,1190,0,1
36,"ENERGETICA MONSTER VERDE",https://dojiw2m9tvv09.cloudfront.net/11132/product/monsterverde0476.jpg,1990,0,1
37,"COCA COLA ZERO DESECHABLE",https://dojiw2m9tvv09.cloudfront.net/11132/product/cocazero9766.jpg,1490,0,4
